                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-macos-21.4.1"                                 "CRMATH"                               "20210624"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                          surf_avg_v_crit                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      630                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5745510321588507E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5745510321588507E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114350718925362E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114350718925362E+000                 -8.2114350718925362E+000                 -2.4241959577545764E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912162336883130E+000                  1.7437029897861160E+000                  1.0120721883809289E+000                  2.8910445052609375E+000                  8.9075976094322309E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893508013734E+001                 -1.6024188804768769E+000                  6.3549870946053169E+000                  6.2129655684767315E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                       5                                      632                  7.4416000000000014E-005                 -4.6832750158095005E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5746172940692242E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5746172940692242E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114350704318202E+000                 -9.8999999999999986E+001                 -2.4082399653118493E+001                 -8.2114350704318202E+000                 -8.2114350704318202E+000                 -2.4241959572692014E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912269631791030E+000                  1.7437459161432192E+000                  1.0120721925778997E+000                  2.8910444968669959E+000                 -7.1815811825702562E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893508531167E+001                 -1.6024188800874701E+000                  6.3549870947333336E+000                  6.2129655684759277E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      10                                      632                  2.5958682111999997E-004                 -4.2873687855713758E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748371839137245E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748371839137245E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114350662235029E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114350662235029E+000                 -8.2114350662235029E+000                 -2.4241959558704977E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912258383566869E+000                  1.7437413994868127E+000                  1.0120721838945288E+000                  2.8910445142337378E+000                 -2.1996365988653615E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893510021026E+001                 -1.6024188789666187E+000                  6.3549870951022998E+000                  6.2129655684736140E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      15                                      632                  7.2035107872931814E-004                 -3.8914625553332525E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5749004919272040E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5749004919272040E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114350557432623E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114350557432623E+000                 -8.2114350557432623E+000                 -2.4241959523868882E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912253515442401E+000                  1.7437394382143820E+000                  1.0120721768832077E+000                  2.8910445282563799E+000                 -7.4520269520469262E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893513730553E+001                 -1.6024188761762233E+000                  6.3549870960213148E+000                  6.2129655684678486E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      20                                      632                  1.8668799962237366E-003                 -3.4955563250951283E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748229261158165E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748229261158165E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114350296570535E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114350296570535E+000                 -8.2114350296570553E+000                 -2.4241959437155487E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912251510397551E+000                  1.7437386232651371E+000                  1.0120721704175557E+000                  2.8910445411876839E+000                 -3.0142233720385094E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893522963196E+001                 -1.6024188692315284E+000                  6.3549870983089587E+000                  6.2129655684534923E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      25                                      632                  4.7198108322034473E-003                 -3.0996500948570040E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748116135681457E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5748116135681457E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114349647364673E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114349647364673E+000                 -8.2114349647364673E+000                 -2.4241959221348576E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912250835469163E+000                  1.7437383368690591E+000                  1.0120721622051931E+000                  2.8910445576124086E+000                 -1.8110166892732854E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893545939519E+001                 -1.6024188519494051E+000                  6.3549871040023849E+000                  6.2129655684177665E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      30                                      632                  1.1818815689988481E-002                 -2.7037438646188803E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5747379585646696E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5747379585646696E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114348031834723E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114348031834723E+000                 -8.2114348031834723E+000                 -2.4241958684315914E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912250673086175E+000                  1.7437382405837687E+000                  1.0120721465391458E+000                  2.8910445889445038E+000                 -1.5431169850893379E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893603114571E+001                 -1.6024188089443843E+000                  6.3549871181704711E+000                  6.2129655683288543E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      35                                      632                  2.9483411457712130E-002                 -2.3078376343807561E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5747991808732912E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5747991808732912E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114344011762430E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114344011762430E+000                 -8.2114344011762430E+000                 -2.4241957347964533E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912250670293463E+000                  1.7437381662268732E+000                  1.0120721099192409E+000                  2.8910446621843136E+000                 -1.4942060280448080E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881893745387453E+001                 -1.6024187019323015E+000                  6.3549871534264168E+000                  6.2129655681076035E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
                                      40                                      632                  7.3438578398454232E-002                 -1.9119314041426323E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5746878575869225E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998576400007E-001                  2.5746878575869225E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2114334008404324E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.2114334008404324E+000                 -8.2114334008404324E+000                 -2.4241954022649235E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912250743970820E+000                  1.7437380155173339E+000                  1.0120720198290010E+000                  2.8910448423647934E+000                 -1.4854950116402960E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2881894099411403E+001                 -1.6024184356499342E+000                  6.3549872411558992E+000                  6.2129655675570494E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  2.1000000000000023E+000                  8.3991060709424648E-001                                        0                                        2 
